"row_id","source","lat_deg","lon_deg","report_date","status_id","water_source_clean","water_source_category","water_tech_clean","_water_tech_category","facility_type","clean_country_name","clean_adm1","clean_adm2","clean_adm3","clean_adm4","install_year","installer","rehab_year","rehabilitator","management_clean","status_clean","pay","fecal_coliform_presence","fecal_coliform_value","subjective_quality","activity_id","scheme_id","wpdx_id","notes","orig_lnk","photo_lnk","country_id","data_lnk","distance_to_primary","distance_to_secondary","distance_to_tertiary","distance_to_city","distance_to_town","water_point_history","rehab_priority","served_population","local_population","crucialness","pressure","usage_cap","is_urban","days_since_report","staleness_score","is_latest","location_id","cluster_size","clean_country_id","country_name","water_source","water_tech","status","adm2","adm3","management","adm1","new_georeferenced_column_","lat_deg_original","lat_lon_deg","lon_deg_original","public_data_source","converted","count","created_timestamp","updated"
"459966","REACH Initiative","21.20313","92.1510533333","2019-05-16T00:00:00.000","Unknown","Borehole","Well",,,"Improved","Bangladesh","Chittagong","Cox'S Bazar","Ukhia","Palong Khali",,,,,,,,,,,,,"7MHJ6532+7C3","Camp 05-B…Ukhia…CXB-209",,,"BD","https://catalog.waterpointdata.org/datasets/wash-sector-unicef-reach-bangladesh-5f0db78f","25620.938749064477","1896.433253735998","327.0739170130952","31920.910286077044","25335.734876915132","{""2019-05-16"": {""source"": ""REACH Initiative"", ""status_id"": ""Unknown"", ""water_source_clean"": ""Borehole""}}","0","0","0",,,"300","False","1223","68.01065954673099","true","373782","1","BGD","Bangladesh","Tube Well",,,"Cox's Bazar",,,"Chittagong","POINT (92.1510533333 21.20313)",,"(21.20313°, 92.1510533333°)",,"https://catalog.waterpointdata.org/datafiles/wash-sector-unicef-reach-bangladesh-5f0db78f.xlsx",,"1","2020-07-14T13:47:59.000","2020-07-14T13:47:59.000"
"460687","REACH Initiative","21.161715","92.1450683333","2019-11-06T00:00:00.000","Unknown","Borehole","Well",,,"Improved","Bangladesh","Chittagong","Cox'S Bazar","Ukhia","Palong Khali",,,,,,,,,,,,,"7MHJ546W+M2P","Camp 15-B…Ukhia…CXB-223",,,"BD","https://catalog.waterpointdata.org/datasets/wash-sector-unicef-reach-bangladesh-5f0db78f","29991.948562832556","758.0153633490373","2018.234905997178","35504.238873434755","29960.590539467656","{""2019-11-06"": {""source"": ""REACH Initiative"", ""status_id"": ""Unknown"", ""water_source_clean"": ""Borehole""}}","0","0","0",,,"300","False","1049","71.84503777858333","true","386245","1","BGD","Bangladesh","Tube Well",,,"Cox's Bazar",,,"Chittagong","POINT (92.1450683333 21.161715)",,"(21.161715°, 92.1450683333°)",,"https://catalog.waterpointdata.org/datafiles/wash-sector-unicef-reach-bangladesh-5f0db78f.xlsx",,"1","2020-07-14T13:47:59.000","2020-07-14T13:47:59.000"
"460199","REACH Initiative","21.0794383333","92.1450283333","2019-06-18T00:00:00.000","Unknown","Borehole","Well",,,"Improved","Bangladesh","Chittagong","Cox'S Bazar","Teknaf","Baharchhara",,,,,,,,,,,,,"7MHJ34HW+Q2C","Camp 23-C…Teknaf…CXB-032",,,"BD","https://catalog.waterpointdata.org/datasets/wash-sector-unicef-reach-bangladesh-5f0db78f","38994.351221007106","950.9377109105274","261.8641174943808","43686.99455426789","28305.043752127203","{""2019-06-18"": {""source"": ""REACH Initiative"", ""status_id"": ""Unknown"", ""water_source_clean"": ""Borehole""}}","0","0","193",,,"300","False","1190","68.72180108027736","true","380501","1","BGD","Bangladesh","Tube Well",,,"Cox's Bazar",,,"Chittagong","POINT (92.1450283333 21.0794383333)",,"(21.0794383333°, 92.1450283333°)",,"https://catalog.waterpointdata.org/datafiles/wash-sector-unicef-reach-bangladesh-5f0db78f.xlsx",,"1","2020-07-14T13:47:59.000","2020-07-14T13:47:59.000"
"458900","REACH Initiative","21.1955","92.1666083333","2019-09-04T00:00:00.000","Unknown","Borehole","Well",,,"Improved","Bangladesh","Chittagong","Cox'S Bazar","Ukhia","Palong Khali",,,,,,,,,,,,,"7MHJ55W8+6J5","Camp 08E-F…Ukhia…CXB-232",,,"BD","https://catalog.waterpointdata.org/datasets/wash-sector-unicef-reach-bangladesh-5f0db78f","26844.704227014987","447.0006409282173","459.719448388545","33536.89888201925","26071.75459648723","{""2019-09-04"": {""source"": ""REACH Initiative"", ""status_id"": ""Unknown"", ""water_source_clean"": ""Borehole""}}","0","0","0",,,"300","False","1112","70.43238103896775","true","383833","1","BGD","Bangladesh","Tube Well",,,"Cox's Bazar",,,"Chittagong","POINT (92.1666083333 21.1955)",,"(21.1955°, 92.1666083333°)",,"https://catalog.waterpointdata.org/datafiles/wash-sector-unicef-reach-bangladesh-5f0db78f.xlsx",,"1","2020-07-14T13:47:59.000","2020-07-14T13:47:59.000"
"460253","REACH Initiative","21.2085033333","92.138485","2019-05-23T00:00:00.000","Unknown","Borehole","Well",,,"Improved","Bangladesh","Chittagong","Cox'S Bazar","Ukhia","Palong Khali",,,,,,,,,,,,,"7MHJ645Q+C95","Camp 04-D…Ukhia…CXB-206",,,"BD","https://catalog.waterpointdata.org/datasets/wash-sector-unicef-reach-bangladesh-5f0db78f","24772.294501172753","2645.2550772536624","769.2949196562311","30705.85433823229","24909.474571004466","{""2019-05-23"": {""source"": ""REACH Initiative"", ""status_id"": ""Unknown"", ""water_source_clean"": ""Borehole""}}","0","0","0",,,"300","False","1216","68.16089022728693","true","375929","1","BGD","Bangladesh","Tube Well",,,"Cox's Bazar",,,"Chittagong","POINT (92.138485 21.2085033333)",,"(21.2085033333°, 92.138485°)",,"https://catalog.waterpointdata.org/datafiles/wash-sector-unicef-reach-bangladesh-5f0db78f.xlsx",,"1","2020-07-14T13:47:59.000","2020-07-14T13:47:59.000"
"611758","UNHCR","21.0761","92.136979","2019-06-19T00:00:00.000","Yes","Borehole","Well","Hand Pump","Hand Pump","Improved","Bangladesh","Chittagong","Cox'S Bazar","Teknaf","Baharchhara",,,,,,,,,,,"BGD-BGDs000039-012464",,"7MHJ34GP+CQX","Camp 23-A…Teknaf…CXB-032",,,"BGD","https://catalog.waterpointdata.org/datasets/unhcr-2020-5f02e85e","39251.65433480472","41.78437782628288","600.3828849306989","43705.441528387724","28487.044136509885","{""2019-06-19"": {""source"": ""UNHCR"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Hand Pump""}}",,"0","3512",,,"300","False","1189","68.74346651306132","true","380721","2","BGD","Bangladesh","Borehole","hand_pump Pump #6",,"Cox's Bazar",,,"Chittagong","POINT (92.136979 21.0761)",,"(21.0761°, 92.136979°)",,"https://catalog.waterpointdata.org/datafiles/unhcr-2020-5f02e85e.csv","#install_year","1","2020-07-06T09:01:18.000","2020-07-06T09:01:18.000"
"611484","UNHCR","21.076594","92.136978","2019-06-19T00:00:00.000","Yes","Borehole","Well","Hand Pump","Hand Pump","Improved","Bangladesh","Chittagong","Cox'S Bazar","Teknaf","Baharchhara",,,,,,,,,,,"BGD-BGDs000039-011876",,"7MHJ34GP+JQQ","Camp 23-A…Teknaf…CXB-032",,,"BGD","https://catalog.waterpointdata.org/datasets/unhcr-2020-5f02e85e","39197.48400212252","67.8510104976811","586.007105892413","43654.72574548093","28531.247151634718","{""2019-06-19"": {""source"": ""UNHCR"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Hand Pump""}}",,"0","3512",,,"300","False","1189","68.74346651306132","true","380636","2","BGD","Bangladesh","Borehole","hand_pump Pump #6",,"Cox's Bazar",,,"Chittagong","POINT (92.136978 21.076594)",,"(21.076594°, 92.136978°)",,"https://catalog.waterpointdata.org/datafiles/unhcr-2020-5f02e85e.csv","#install_year","1","2020-07-06T09:01:18.000","2020-07-06T09:01:18.000"
"602090","UNHCR","21.158452","92.149377","2019-06-13T00:00:00.000","Yes","Borehole","Well","Hand Pump","Hand Pump","Improved","Bangladesh","Chittagong","Cox'S Bazar","Ukhia","Palong Khali",,,,,,,,,,,"BGD-BGDs032270-015805",,"7MHJ545X+9QJ","Camp 16-A…Ukhia…CXB-224",,,"BGD","https://catalog.waterpointdata.org/datasets/unhcr-2020-5f02e85e","30420.145571680274","312.0237142380981","2110.57296832451","36032.90641971325","30268.885635744606","{""2019-06-13"": {""source"": ""UNHCR"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Hand Pump""}}",,"0","1072",,,"300","False","1195","68.61357629563835","true","379562","2","BGD","Bangladesh","Borehole","hand_pump Pump #6",,"Cox's Bazar",,,"Chittagong","POINT (92.149377 21.158452)",,"(21.158452°, 92.149377°)",,"https://catalog.waterpointdata.org/datafiles/unhcr-2020-5f02e85e.csv","#install_year","1","2020-07-06T09:01:18.000","2020-07-06T09:01:18.000"
"612195","UNHCR","20.97653487","92.24381193","2019-06-26T00:00:00.000","Yes","Borehole","Well","Hand Pump","Hand Pump","Improved","Bangladesh","Chittagong","Cox'S Bazar","Teknaf","Nhilla",,,,,,,,,,,"BGD-BGDs032272-014538",,"7MGJX6GV+JG7","Camp 25-B…Teknaf…CXB-017",,,"BGD","https://catalog.waterpointdata.org/datasets/unhcr-2020-5f02e85e","52370.40917175355","562.8637166482752","4037.5523090324614","58418.47510195892","13260.562956357058","{""2019-06-26"": {""source"": ""UNHCR"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Hand Pump""}}",,"0","796",,,"300","True","1182","68.89531591177118","true","381363","2","BGD","Bangladesh","Borehole","hand_pump Pump #6",,"Cox's Bazar",,,"Chittagong","POINT (92.24381193 20.97653487)",,"(20.97653487°, 92.24381193°)",,"https://catalog.waterpointdata.org/datafiles/unhcr-2020-5f02e85e.csv","#install_year","1","2020-07-06T09:01:18.000","2020-07-06T09:01:18.000"
"611585","UNHCR","21.083018","92.138441","2019-06-17T00:00:00.000","Yes","Borehole","Well","Hand Pump","Hand Pump","Improved","Bangladesh","Chittagong","Cox'S Bazar","Teknaf","Baharchhara",,,,,,,,,,,"BGD-BGDs000039-011977",,"7MHJ34MQ+694","Camp 23-B…Teknaf…CXB-032",,,"BGD","https://catalog.waterpointdata.org/datasets/unhcr-2020-5f02e85e","38514.97545563695","520.2993997251971","466.8502299280136","43054.94912771158","29020.876906778067","{""2019-06-17"": {""source"": ""UNHCR"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole"", ""water_tech_clean"": ""Hand Pump""}}",,"0","193",,,"300","False","1191","68.70014247564741","true","380008","2","BGD","Bangladesh","Borehole","hand_pump Pump #6",,"Cox's Bazar",,,"Chittagong","POINT (92.138441 21.083018)",,"(21.083018°, 92.138441°)",,"https://catalog.waterpointdata.org/datafiles/unhcr-2020-5f02e85e.csv","#install_year","1","2020-07-06T09:01:18.000","2020-07-06T09:01:18.000"
